Lat,Lon,distance,distance [m]
55.66883,12.5822,0.7045972958713244,704.5972958713244
55.66881,12.58201,0.7167182068240477,716.7182068240478
55.66887,12.5819,0.7263149436817937,726.3149436817937
55.66895,12.58166,0.7437979276576656,743.7979276576656
55.66934,12.58082,0.8120290744074307,812.0290744074307
55.6695,12.58043,0.842272647854298,842.272647854298
55.66959,12.58027,0.8564439140350087,856.4439140350088
55.66974,12.57998,0.8811203036816041,881.1203036816041
55.66995,12.57964,0.9127409430345544,912.7409430345544
55.67009,12.57935,0.9366796481356028,936.6796481356027
55.67055,12.57849,1.011007994846085,1011.007994846085
55.67073,12.57808,1.0435906812989866,1043.5906812989865
55.67094,12.57773,1.0756371275498007,1075.6371275498007
55.67118,12.57721,1.1177734385826466,1117.7734385826466
55.67138,12.57684,1.1499121039443096,1149.9121039443096
55.67147,12.57664,1.1659569959865994,1165.9569959865994
55.67153,12.57655,1.1746955435336652,1174.6955435336652
55.67166,12.57627,1.1974384103305669,1197.438410330567
55.67173,12.57617,1.207433738830951,1207.4337388309511
55.67215,12.57523,1.28263651077971,1282.63651077971
55.67227,12.57499,1.3027494739949632,1302.7494739949632
55.67234,12.57489,1.312744741162928,1312.744741162928
55.67239,12.57476,1.3226119383763595,1322.6119383763594
55.67257,12.57439,1.3532532791225462,1353.2532791225462
55.67297,12.57372,1.4144360493308785,1414.4360493308786
55.67308,12.57357,1.4298657443579466,1429.8657443579466
55.67338,12.57294,1.4815700087292716,1481.5700087292716
55.67367,12.57239,1.5287844075712063,1528.7844075712062
55.67394,12.57166,1.583525313047672,1583.5253130476722
55.67428,12.57097,1.6409811590184236,1640.9811590184236
55.67433,12.5709,1.648064641898645,1648.064641898645
55.67437,12.57077,1.6573504874142335,1657.3504874142336
55.67442,12.57071,1.6640635029769886,1664.0635029769885
55.6745,12.57052,1.6789316445379439,1678.9316445379438
55.67457,12.57042,1.6889266874889557,1688.9266874889556
55.67505,12.56946,1.7693755471251826,1769.3755471251827
55.67515,12.56928,1.7852192300064067,1785.2192300064066
55.6752,12.56923,1.7916019755199442,1791.601975519944
55.67528,12.56903,1.8069769064479764,1806.9769064479763
55.6754,12.56885,1.8244532861115548,1824.4532861115547
55.67563,12.56843,1.861162496648601,1861.1624966486008
55.67588,12.56803,1.8986028733192024,1898.6028733192024
55.676,12.56788,1.9149277102759403,1914.9277102759404
55.67608,12.56782,1.9245860919510458,1924.5860919510458
55.67636,12.56746,1.9630419218933297,1963.0419218933298
55.67651,12.56719,1.9868070346822124,1986.8070346822124
55.67675,12.56695,2.0174439382494582,2017.4439382494581
55.67684,12.56688,2.0283715919011613,2028.3715919011613
55.67694,12.56673,2.042935000972393,2042.9350009723928
55.67718,12.56652,2.072693120677374,2072.693120677374
55.67735,12.56629,2.0964687391694126,2096.4687391694124
55.67742,12.56637,2.105728523487973,2105.7285234879732
55.67742,12.56652,2.1151331515172616,2115.1331515172615
55.6775,12.56658,2.1247914800042182,2124.791480004218
55.67767,12.56689,2.1519040876676434,2151.9040876676436
55.67776,12.56699,2.163713422916464,2163.713422916464
55.67781,12.56698,2.1693084166822425,2169.3084166822423
55.67793,12.56683,2.1856329863224535,2185.6329863224537
55.67801,12.56677,2.195291295705933,2195.291295705933
55.67805,12.5667,2.201539827528927,2201.539827528927
55.67812,12.56663,2.210475510890539,2210.4755108905388
55.67825,12.56645,2.228814436281402,2228.814436281402
55.67835,12.56627,2.2446574615344654,2244.6574615344653
55.67843,12.56618,2.255191746733009,2255.191746733009
55.67848,12.56614,2.261290935065493,2261.2909350654927
55.67862,12.56609,2.277170735405594,2277.1707354055943
55.67872,12.56609,2.2882902434283525,2288.2902434283524
55.67888,12.56614,2.3063555142109715,2306.3555142109717
55.67904,12.56628,2.326194072046017,2326.194072046017
55.67911,12.56639,2.3365934045436303,2336.59340454363
55.67913,12.56647,2.3420799168721644,2342.0799168721646
55.67927,12.56661,2.3599511607119115,2359.9511607119116
55.67944,12.56687,2.3849118796361517,2384.9118796361518
55.67978,12.5672,2.42800891048357,2428.00891048357
55.68011,12.56766,2.474679726294455,2474.6797262944547
55.68024,12.5678,2.4915910769760172,2491.591076976017
55.6803,12.56792,2.50164639870793,2501.6463987079296
55.68035,12.56796,2.5077455377435998,2507.7455377436
55.68046,12.56811,2.523174151263656,2523.174151263656
55.68054,12.56818,2.5330933537361,2533.0933537361
55.68082,12.56862,2.5746899330834783,2574.689933083478
55.68108,12.56887,2.6075756690486362,2607.5756690486364
55.68128,12.569,2.6312609938205713,2631.2609938205715
55.68164,12.56911,2.6718808688364524,2671.8808688364525
55.68184,12.56934,2.6983851457951022,2698.3851457951023
55.68195,12.56951,2.7146082123195034,2714.6082123195033
55.68204,12.56958,2.725535631659667,2725.535631659667
55.68221,12.56979,2.7485713445976647,2748.571344597665
55.68231,12.56981,2.759761316054734,2759.761316054734
55.68244,12.56994,2.77635571755992,2776.35571755992
55.68253,12.56997,2.78653845621505,2786.53845621505
55.68279,12.57025,2.8203605787596193,2820.3605787596193
55.68284,12.57032,2.8274434700537046,2827.4434700537045
55.68291,12.57036,2.8356210679351777,2835.6210679351775
55.68308,12.57065,2.861847594662112,2861.847594662112
55.68328,12.57105,2.895363937880231,2895.363937880231
55.68342,12.57121,2.913882677925583,2913.882677925583
55.68361,12.57151,2.9421674928441437,2942.167492844144
55.6838,12.57192,2.975438172602597,2975.438172602597
55.68404,12.57224,3.008823570721903,3008.8235707219033
55.68415,12.57245,3.0267931450233014,3026.7931450233013
55.68434,12.57271,3.0534763672027307,3053.4763672027307
55.68459,12.57325,3.097278561685406,3097.2785616854057
55.68471,12.57338,3.112913636677539,3112.9136366775388
55.68488,12.57378,3.1443150553452006,3144.3150553452006
55.68494,12.57383,3.1516863055458075,3151.6863055458075
55.68511,12.5741,3.177059254678707,3177.059254678707
55.68529,12.57451,3.2096343916383843,3209.6343916383844
55.68546,12.57479,3.235429604602349,3235.429604602349
55.68557,12.57493,3.2504836368737187,3250.4836368737188
55.6859,12.57544,3.299150774312219,3299.150774312219
55.68596,12.57565,3.3139085654135365,3313.9085654135365
55.68603,12.57571,3.3225532525294548,3322.5532525294548
55.68617,12.57595,3.344201926686383,3344.201926686383
55.6862,12.57598,3.3480313139824673,3348.0313139824675
55.68626,12.57611,3.358562945792784,3358.562945792784
55.68643,12.57637,3.383521762416067,3383.5217624160673
55.68647,12.57649,3.392260350345365,3392.260350345365
55.68666,12.57677,3.4197266488481635,3419.7266488481637
55.6867,12.57686,3.42691057602349,3426.91057602349
55.68699,12.57726,3.4677577922271188,3467.757792227119
55.68705,12.57737,3.477352225346811,3477.3522253468113
55.68724,12.57758,3.5022444504649304,3502.24445046493
55.68735,12.57776,3.518885003515486,3518.885003515486
55.68743,12.57782,3.5285429600757006,3528.5429600757006
55.68748,12.57785,3.5344121108453503,3534.4121108453505
55.68755,12.57782,3.5424196916282,3542.4196916282
55.68765,12.57768,3.5565848089582635,3556.5848089582632
55.68792,12.57725,3.5969309820682933,3596.9309820682934
55.68794,12.57715,3.6035818772704022,3603.5818772704024
55.68801,12.57708,3.612517015661699,3612.517015661699
55.68808,12.57697,3.6229152993754044,3622.915299375404
55.68813,12.57692,3.6292975359672077,3629.2975359672078
55.6883,12.57665,3.6546695641649274,3654.6695641649276
55.68833,12.57656,3.661223273512408,3661.223273512408
55.6884,12.57649,3.670158390414397,3670.158390414397
55.6885,12.5763,3.6864516951801196,3686.4516951801197
55.68853,12.57617,3.6952564538118753,3695.2564538118754
